"filename", "language", "JSON with Comments", "JavaScript", "JSON", "Markdown", "Vue", "HTML", "XML", "comment", "blank", "total"
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\registerServiceWorker.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 1, 3, 33
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\router\index.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 3, 5, 42
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\store\index.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\store\modules\playground.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\views\AboutView.vue", "Vue", 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\views\GameBuilder.vue", "Vue", 0, 0, 0, 0, 351, 0, 0, 2, 57, 410
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\views\HamsterPlayGround.vue", "Vue", 0, 0, 0, 0, 171, 0, 0, 22, 18, 211
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\views\HomeView.vue", "Vue", 0, 0, 0, 0, 15, 0, 0, 1, 3, 19
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\src\views\LoginView.vue", "Vue", 0, 0, 0, 0, 43, 0, 0, 4, 7, 54
"c:\Users\alexa\Desktop\Schule\5BHWII\Diplomarbeit\FrontendVue\vue.config.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"Total", "-", 8, 709, 24851, 1, 1349, 16, 189, 125, 356, 27604
